0.512,0.443,0.373,0.281,0.281,0.269,314756,274956,208763,1
0.07,0.078,0.06,0.046,0.047,0.041,0,0,0,1
0.313,0.23,0.204,0.216,0.149,0.22,146981,14836,41294,1
0.7,0.675,0.667,0.134,0.186,0.206,485640,427409,404934,1
0.586,0.479,0.414,0.144,0.176,0.159,407614,315923,245774,1
0.415,0.664,0.755,0.077,0.066,0.068,40455,514082,525242,1
0.409,0.534,0.565,0.16,0.232,0.261,120049,247571,258625,1
0.159,0.152,0.16,0.142,0.127,0.119,30681,20391,18338,1
0.342,0.352,0.403,0.143,0.122,0.131,68968,56313,121564,1
0.438,0.406,0.383,0.272,0.264,0.262,132816,124833,119435,1
0.708,0.665,0.641,0.133,0.184,0.228,496452,421624,380601,1
0.645,0.654,0.651,0.131,0.184,0.243,448621,391472,315856,1
0.362,0.246,0.184,0.206,0.139,0.114,103848,29561,7844,1
0.793,0.541,0.651,0.193,0.165,0.236,462235,355478,379623,1
0.73,0.708,0.693,0.091,0.108,0.108,510683,500871,499876,1
0.663,0.573,0.491,0.165,0.191,0.193,447352,369993,214191,1
0.65,0.651,0.674,0.099,0.105,0.115,497809,488202,486963,1
0.269,0.237,0.217,0.218,0.174,0.153,80200,73932,64034,1
0.222,0.186,0.175,0.196,0.166,0.153,85307,34188,12362,1
0.748,0.71,0.687,0.076,0.128,0.172,523212,497403,466813,1
0.199,0.161,0.147,0.186,0.17,0.167,27636,24060,23246,1
0.391,0.283,0.242,0.27,0.194,0.145,164892,86986,33004,1
0.736,0.751,0.764,0.098,0.127,0.147,518005,491203,481294,1
0.312,0.278,0.251,0.155,0.145,0.134,120164,54142,26898,1
0.136,0.175,0.21,0.164,0.152,0.156,31469,26930,32163,1
0.463,0.576,0.626,0.189,0.276,0.336,258989,366212,380882,1
0.594,0.601,0.617,0.077,0.112,0.134,492465,472712,474855,1
0.792,0.726,0.65,0.214,0.225,0.227,481392,472141,430843,1
0.342,0.466,0.413,0.178,0.236,0.214,94194,286254,206051,1
0.509,0.441,0.373,0.181,0.199,0.198,281333,201736,139566,1
0.244,0.159,0.163,0.205,0.135,0.134,69178,16890,13832,1
0.197,0.304,0.42,0.204,0.169,0.141,52102,52842,92647,1
0.449,0.507,0.534,0.18,0.192,0.222,161350,286111,333343,1
0.641,0.673,0.702,0.2,0.242,0.254,374880,418557,437795,1
0.608,0.542,0.53,0.281,0.293,0.301,391542,327933,314885,1
0.494,0.437,0.39,0.118,0.145,0.149,313463,270349,141452,1
0.584,0.551,0.506,0.096,0.103,0.103,439512,394052,338650,1
0.56,0.525,0.489,0.221,0.234,0.229,265611,227732,207210,1
0.356,0.291,0.225,0.301,0.274,0.225,135529,119318,75661,1
0.589,0.676,0.733,0.139,0.173,0.208,364997,440267,437859,1
0.444,0.378,0.316,0.204,0.156,0.131,161906,114338,48679,1
0.708,0.679,0.662,0.206,0.245,0.274,441949,387391,371495,1
0.535,0.38,0.323,0.18,0.152,0.16,335781,111245,103751,1
0.272,0.254,0.261,0.269,0.225,0.191,118380,101932,94348,1
0.422,0.391,0.424,0.251,0.233,0.256,119325,131458,183213,1
0.166,0.182,0.401,0.257,0.178,0.145,60841,55991,138868,1
0.709,0.667,0.663,0.245,0.261,0.269,438928,408294,407892,1
0.692,0.809,0.848,0.142,0.148,0.144,481133,512753,513272,1
0.548,0.569,0.593,0.151,0.129,0.116,291868,338446,402992,1
0.587,0.473,0.465,0.297,0.309,0.298,305318,243579,217380,1
0.492,0.248,0.102,0.242,0.143,0.069,216898,50398,474,1
0.646,0.723,0.733,0.169,0.221,0.255,428500,409678,396889,1
0.677,0.585,0.523,0.24,0.239,0.235,431160,392641,318110,1
0.314,0.222,0.112,0.236,0.175,0.142,101060,45040,18707,1
0.515,0.609,0.663,0.169,0.211,0.258,273322,385619,371571,1
0.625,0.57,0.555,0.215,0.222,0.221,357052,319013,310868,1
0.759,0.729,0.66,0.103,0.178,0.223,516766,441274,375025,1
0.593,0.547,0.508,0.228,0.264,0.27,355008,298447,280850,1
0.2,0.17,0.189,0.178,0.145,0.121,54077,32958,20189,1
0.612,0.585,0.582,0.289,0.304,0.31,375718,362504,360045,1
0.564,0.535,0.544,0.184,0.224,0.256,321852,298954,317697,1
0.58,0.587,0.595,0.273,0.274,0.294,355490,353296,346710,1
0.818,0.748,0.726,0.208,0.265,0.278,453733,408487,393592,1
0.924,0.885,0.866,0.134,0.179,0.19,506168,485572,476101,1
0.433,0.441,0.401,0.206,0.253,0.287,202933,233735,205157,1
0.52,0.454,0.401,0.161,0.177,0.197,309809,218070,181985,1
0.265,0.214,0.191,0.26,0.213,0.184,108921,93034,57632,1
0.618,0.588,0.565,0.143,0.212,0.246,447849,357861,330312,1
0.36,0.305,0.257,0.254,0.219,0.214,124780,104729,90880,1
0.524,0.482,0.488,0.282,0.312,0.319,242906,218893,216305,1
0.662,0.765,0.833,0.313,0.249,0.213,328876,433814,490185,1
0.485,0.6,0.709,0.21,0.225,0.259,243094,396830,417422,1
0.227,0.191,0.161,0.128,0.105,0.096,19678,11194,1631,1
0.575,0.507,0.484,0.263,0.277,0.289,331514,277113,257975,1
0.722,0.673,0.626,0.16,0.21,0.227,470427,419173,377315,1
0.586,0.643,0.684,0.127,0.201,0.246,445940,388972,389787,1
0.342,0.349,0.344,0.21,0.176,0.159,107836,104214,91253,1
0.391,0.387,0.428,0.259,0.237,0.222,186627,159910,182941,1
0.537,0.612,0.61,0.269,0.331,0.346,360555,376221,375970,1
0.315,0.458,0.585,0.125,0.124,0.156,38676,199497,346832,1
0.278,0.224,0.206,0.236,0.206,0.187,79904,57599,44427,1
0.671,0.646,0.644,0.334,0.342,0.342,379731,364254,360307,1
0.361,0.404,0.413,0.221,0.235,0.255,101060,204536,204021,1
0.366,0.26,0.237,0.27,0.211,0.197,154033,93202,82530,1
0.533,0.523,0.518,0.274,0.296,0.298,269281,243478,227545,1
0.671,0.547,0.481,0.171,0.173,0.161,449443,317741,210305,1
0.267,0.24,0.407,0.335,0.215,0.141,122314,108079,140195,1
0.144,0.128,0.117,0.162,0.116,0.106,42558,15654,3520,1
0.458,0.434,0.446,0.241,0.209,0.202,147171,145681,149680,1
0.818,0.793,0.733,0.093,0.098,0.099,524515,523823,517852,1
0.568,0.345,0.248,0.243,0.192,0.171,302890,115367,51186,1
0.512,0.443,0.373,0.281,0.281,0.269,314756,274956,208763,1
0.07,0.078,0.06,0.046,0.047,0.041,0,0,0,1
0.313,0.23,0.204,0.216,0.149,0.22,146981,14836,41294,1
0.7,0.675,0.667,0.134,0.186,0.206,485640,427409,404934,1
0.586,0.479,0.414,0.144,0.176,0.159,407614,315923,245774,1
0.415,0.664,0.755,0.077,0.066,0.068,40455,514082,525242,1
0.566,0.452,0.395,0.196,0.187,0.183,255731,192792,168127,0
0.495,0.382,0.357,0.167,0.134,0.129,294385,79659,65532,0
0.671,0.445,0.396,0.214,0.17,0.164,444162,259109,175446,0
0.657,0.536,0.507,0.172,0.168,0.169,401451,310403,288484,0
0.799,0.559,0.489,0.127,0.117,0.12,515164,372034,246823,0
0.607,0.414,0.346,0.144,0.111,0.108,388934,141864,38313,0
0.389,0.253,0.206,0.17,0.108,0.083,201377,3561,448,0
0.606,0.403,0.312,0.272,0.193,0.161,356719,222229,52533,0
0.796,0.689,0.682,0.142,0.161,0.156,507548,457406,457369,0
0.568,0.369,0.296,0.146,0.128,0.123,381589,70383,30260,0
0.693,0.531,0.472,0.091,0.092,0.083,502579,358859,231921,0
0.687,0.538,0.462,0.198,0.158,0.144,424196,363088,289159,0
0.647,0.476,0.416,0.129,0.152,0.152,475088,229144,210366,0
0.756,0.606,0.576,0.124,0.148,0.172,496967,429399,288461,0
0.479,0.359,0.33,0.307,0.27,0.266,249225,181884,168449,0
0.62,0.474,0.431,0.184,0.217,0.221,370375,186517,153668,0
0.682,0.516,0.454,0.148,0.141,0.135,454605,338075,237132,0
0.668,0.525,0.465,0.156,0.13,0.118,454291,370711,258564,0
0.525,0.492,0.513,0.189,0.188,0.185,318807,271433,294345,0
0.502,0.356,0.282,0.24,0.186,0.163,277607,134257,31636,0
0.607,0.393,0.333,0.104,0.168,0.166,472189,119150,113212,0
0.72,0.542,0.47,0.204,0.214,0.226,422871,339470,288364,0
0.614,0.415,0.284,0.221,0.18,0.133,367066,215532,17172,0
0.5,0.346,0.303,0.259,0.192,0.181,319460,105380,66523,0
0.556,0.354,0.346,0.132,0.14,0.134,332500,125182,111855,0
0.674,0.507,0.466,0.148,0.173,0.173,491272,265046,133525,0
0.727,0.555,0.476,0.222,0.218,0.227,438999,361986,305383,0
0.719,0.544,0.532,0.201,0.196,0.193,441342,334360,314284,0
0.674,0.475,0.417,0.286,0.222,0.205,414366,309612,242382,0
0.348,0.268,0.241,0.182,0.151,0.137,121461,39004,39804,0
0.517,0.352,0.292,0.084,0.074,0.065,334834,3922,3595,0
0.763,0.559,0.43,0.25,0.271,0.248,422475,327015,269356,0
0.557,0.418,0.37,0.182,0.167,0.178,347636,157575,132208,0
0.596,0.422,0.363,0.169,0.164,0.16,340907,202505,140839,0
0.323,0.252,0.297,0.189,0.161,0.163,99396,372,29272,0
0.624,0.439,0.356,0.219,0.172,0.147,375939,170647,101401,0
0.369,0.264,0.263,0.119,0.168,0.204,68155,70537,73568,0
0.854,0.632,0.604,0.095,0.152,0.208,518849,431242,292163,0
0.704,0.547,0.484,0.186,0.156,0.156,447771,341147,259369,0
0.686,0.494,0.48,0.238,0.184,0.179,422239,366035,350368,0
0.674,0.544,0.536,0.143,0.157,0.158,483457,339950,316820,0
0.664,0.582,0.551,0.271,0.307,0.325,358459,294433,268476,0
0.538,0.408,0.433,0.161,0.153,0.13,300557,120723,129789,0
0.82,0.569,0.493,0.204,0.136,0.124,459138,370593,290983,0
0.744,0.368,0.119,0.182,0.135,0.076,469381,88707,2069,0
0.637,0.512,0.488,0.212,0.183,0.187,390189,309036,291362,0
0.408,0.234,0.166,0.281,0.17,0.124,246066,24816,93,0
0.722,0.539,0.487,0.146,0.173,0.176,479340,318272,211327,0
0.701,0.512,0.47,0.235,0.207,0.183,375704,280383,253387,0
0.606,0.449,0.38,0.123,0.148,0.132,426622,139405,91533,0
0.251,0.2,0.193,0.139,0.1,0.082,20838,145,47,0
0.707,0.567,0.521,0.161,0.189,0.194,471043,333161,284312,0
0.39,0.235,0.167,0.255,0.172,0.132,210141,38156,1186,0
0.723,0.539,0.447,0.08,0.081,0.081,516963,387177,146815,0
0.712,0.54,0.478,0.148,0.164,0.155,451496,362830,319005,0
0.497,0.353,0.31,0.256,0.182,0.169,287964,126874,71703,0
0.527,0.387,0.294,0.37,0.248,0.191,275543,220540,105816,0
0.51,0.364,0.261,0.235,0.177,0.157,244560,141150,34630,0
0.567,0.393,0.301,0.15,0.158,0.153,357671,92634,63856,0
0.58,0.397,0.301,0.23,0.172,0.141,397694,179076,29772,0
0.559,0.426,0.373,0.136,0.11,0.103,399283,144459,41557,0
0.703,0.597,0.54,0.207,0.268,0.282,429146,291450,253398,0
0.569,0.42,0.404,0.208,0.217,0.217,267758,181752,174788,0
0.674,0.513,0.512,0.187,0.163,0.158,437054,300528,299587,0
0.645,0.484,0.461,0.168,0.154,0.156,451042,228532,229746,0
0.639,0.446,0.421,0.241,0.236,0.233,395963,191371,183528,0
0.865,0.655,0.556,0.147,0.138,0.124,502634,469437,414378,0
0.589,0.463,0.398,0.179,0.167,0.164,398154,222354,160832,0
0.618,0.478,0.416,0.15,0.12,0.12,428074,273297,152560,0
0.688,0.604,0.558,0.207,0.173,0.164,419083,409049,381083,0
0.511,0.424,0.441,0.16,0.182,0.189,300652,153596,179660,0
0.581,0.406,0.348,0.33,0.246,0.223,325957,247984,185477,0
0.563,0.401,0.331,0.197,0.186,0.172,333703,124716,87323,0
0.483,0.343,0.302,0.3,0.268,0.252,222238,142638,126321,0
0.647,0.475,0.415,0.217,0.181,0.148,425042,296325,185947,0
0.54,0.493,0.45,0.261,0.153,0.176,362192,283941,231188,0
0.435,0.3,0.28,0.158,0.172,0.165,140606,56980,48840,0
0.67,0.576,0.583,0.127,0.153,0.155,470468,378611,383626,0
0.65,0.526,0.511,0.161,0.195,0.196,430354,288739,286699,0
0.728,0.557,0.489,0.179,0.151,0.153,463573,350777,262624,0
0.711,0.576,0.57,0.142,0.129,0.1,481818,387776,415202,0
0.748,0.543,0.458,0.24,0.239,0.216,437605,349765,283615,0
0.661,0.499,0.409,0.158,0.147,0.138,432866,276798,144332,0
0.549,0.346,0.244,0.316,0.22,0.174,320108,135314,34793,0
0.401,0.278,0.229,0.124,0.117,0.1,48866,22421,15799,0
0.699,0.468,0.423,0.133,0.105,0.177,484786,214162,97888,0
0.387,0.28,0.208,0.125,0.098,0.075,86003,570,0,0
0.754,0.542,0.482,0.105,0.128,0.106,516776,304378,263352,0
0.719,0.555,0.511,0.13,0.171,0.191,494586,376712,323072,0
0.409,0.534,0.565,0.16,0.232,0.261,120049,247571,258625,1
0.159,0.152,0.16,0.142,0.127,0.119,30681,20391,18338,1
0.342,0.352,0.403,0.143,0.122,0.131,68968,56313,121564,1
0.438,0.406,0.383,0.272,0.264,0.262,132816,124833,119435,1
0.708,0.665,0.641,0.133,0.184,0.228,496452,421624,380601,1
0.645,0.654,0.651,0.131,0.184,0.243,448621,391472,315856,1
0.362,0.246,0.184,0.206,0.139,0.114,103848,29561,7844,1
0.793,0.541,0.651,0.193,0.165,0.236,462235,355478,379623,1
0.73,0.708,0.693,0.091,0.108,0.108,510683,500871,499876,1
0.663,0.573,0.491,0.165,0.191,0.193,447352,369993,214191,1
0.65,0.651,0.674,0.099,0.105,0.115,497809,488202,486963,1
0.269,0.237,0.217,0.218,0.174,0.153,80200,73932,64034,1
0.222,0.186,0.175,0.196,0.166,0.153,85307,34188,12362,1
0.748,0.71,0.687,0.076,0.128,0.172,523212,497403,466813,1
0.199,0.161,0.147,0.186,0.17,0.167,27636,24060,23246,1
0.391,0.283,0.242,0.27,0.194,0.145,164892,86986,33004,1
0.736,0.751,0.764,0.098,0.127,0.147,518005,491203,481294,1
0.312,0.278,0.251,0.155,0.145,0.134,120164,54142,26898,1
0.136,0.175,0.21,0.164,0.152,0.156,31469,26930,32163,1
0.463,0.576,0.626,0.189,0.276,0.336,258989,366212,380882,1
0.594,0.601,0.617,0.077,0.112,0.134,492465,472712,474855,1
0.792,0.726,0.65,0.214,0.225,0.227,481392,472141,430843,1
0.342,0.466,0.413,0.178,0.236,0.214,94194,286254,206051,1
0.509,0.441,0.373,0.181,0.199,0.198,281333,201736,139566,1
0.244,0.159,0.163,0.205,0.135,0.134,69178,16890,13832,1
0.197,0.304,0.42,0.204,0.169,0.141,52102,52842,92647,1
0.449,0.507,0.534,0.18,0.192,0.222,161350,286111,333343,1
0.641,0.673,0.702,0.2,0.242,0.254,374880,418557,437795,1
0.608,0.542,0.53,0.281,0.293,0.301,391542,327933,314885,1
0.494,0.437,0.39,0.118,0.145,0.149,313463,270349,141452,1
0.584,0.551,0.506,0.096,0.103,0.103,439512,394052,338650,1
0.56,0.525,0.489,0.221,0.234,0.229,265611,227732,207210,1
0.356,0.291,0.225,0.301,0.274,0.225,135529,119318,75661,1
0.589,0.676,0.733,0.139,0.173,0.208,364997,440267,437859,1
0.444,0.378,0.316,0.204,0.156,0.131,161906,114338,48679,1
0.708,0.679,0.662,0.206,0.245,0.274,441949,387391,371495,1
0.535,0.38,0.323,0.18,0.152,0.16,335781,111245,103751,1
0.272,0.254,0.261,0.269,0.225,0.191,118380,101932,94348,1
0.422,0.391,0.424,0.251,0.233,0.256,119325,131458,183213,1
0.166,0.182,0.401,0.257,0.178,0.145,60841,55991,138868,1
0.709,0.667,0.663,0.245,0.261,0.269,438928,408294,407892,1
0.692,0.809,0.848,0.142,0.148,0.144,481133,512753,513272,1
0.548,0.569,0.593,0.151,0.129,0.116,291868,338446,402992,1
0.587,0.473,0.465,0.297,0.309,0.298,305318,243579,217380,1
0.492,0.248,0.102,0.242,0.143,0.069,216898,50398,474,1
0.646,0.723,0.733,0.169,0.221,0.255,428500,409678,396889,1
0.677,0.585,0.523,0.24,0.239,0.235,431160,392641,318110,1
0.314,0.222,0.112,0.236,0.175,0.142,101060,45040,18707,1
0.515,0.609,0.663,0.169,0.211,0.258,273322,385619,371571,1
0.625,0.57,0.555,0.215,0.222,0.221,357052,319013,310868,1
0.759,0.729,0.66,0.103,0.178,0.223,516766,441274,375025,1
0.593,0.547,0.508,0.228,0.264,0.27,355008,298447,280850,1
0.2,0.17,0.189,0.178,0.145,0.121,54077,32958,20189,1
0.612,0.585,0.582,0.289,0.304,0.31,375718,362504,360045,1
0.564,0.535,0.544,0.184,0.224,0.256,321852,298954,317697,1
0.58,0.587,0.595,0.273,0.274,0.294,355490,353296,346710,1
0.818,0.748,0.726,0.208,0.265,0.278,453733,408487,393592,1
0.924,0.885,0.866,0.134,0.179,0.19,506168,485572,476101,1
0.433,0.441,0.401,0.206,0.253,0.287,202933,233735,205157,1
0.52,0.454,0.401,0.161,0.177,0.197,309809,218070,181985,1
0.265,0.214,0.191,0.26,0.213,0.184,108921,93034,57632,1
0.618,0.588,0.565,0.143,0.212,0.246,447849,357861,330312,1
0.36,0.305,0.257,0.254,0.219,0.214,124780,104729,90880,1
0.524,0.482,0.488,0.282,0.312,0.319,242906,218893,216305,1
0.662,0.765,0.833,0.313,0.249,0.213,328876,433814,490185,1
0.485,0.6,0.709,0.21,0.225,0.259,243094,396830,417422,1
0.227,0.191,0.161,0.128,0.105,0.096,19678,11194,1631,1
0.575,0.507,0.484,0.263,0.277,0.289,331514,277113,257975,1
0.722,0.673,0.626,0.16,0.21,0.227,470427,419173,377315,1
0.586,0.643,0.684,0.127,0.201,0.246,445940,388972,389787,1
0.342,0.349,0.344,0.21,0.176,0.159,107836,104214,91253,1
0.391,0.387,0.428,0.259,0.237,0.222,186627,159910,182941,1
0.537,0.612,0.61,0.269,0.331,0.346,360555,376221,375970,1
0.315,0.458,0.585,0.125,0.124,0.156,38676,199497,346832,1
0.278,0.224,0.206,0.236,0.206,0.187,79904,57599,44427,1
0.671,0.646,0.644,0.334,0.342,0.342,379731,364254,360307,1
0.361,0.404,0.413,0.221,0.235,0.255,101060,204536,204021,1
0.366,0.26,0.237,0.27,0.211,0.197,154033,93202,82530,1
0.533,0.523,0.518,0.274,0.296,0.298,269281,243478,227545,1
0.671,0.547,0.481,0.171,0.173,0.161,449443,317741,210305,1
0.267,0.24,0.407,0.335,0.215,0.141,122314,108079,140195,1
0.144,0.128,0.117,0.162,0.116,0.106,42558,15654,3520,1
0.458,0.434,0.446,0.241,0.209,0.202,147171,145681,149680,1
0.818,0.793,0.733,0.093,0.098,0.099,524515,523823,517852,1
0.568,0.345,0.248,0.243,0.192,0.171,302890,115367,51186,1
0.512,0.443,0.373,0.281,0.281,0.269,314756,274956,208763,1
0.07,0.078,0.06,0.046,0.047,0.041,0,0,0,1
0.313,0.23,0.204,0.216,0.149,0.22,146981,14836,41294,1
0.7,0.675,0.667,0.134,0.186,0.206,485640,427409,404934,1
0.586,0.479,0.414,0.144,0.176,0.159,407614,315923,245774,1
0.415,0.664,0.755,0.077,0.066,0.068,40455,514082,525242,1
0.566,0.452,0.395,0.196,0.187,0.183,255731,192792,168127,0
0.495,0.382,0.357,0.167,0.134,0.129,294385,79659,65532,0
0.671,0.445,0.396,0.214,0.17,0.164,444162,259109,175446,0
0.657,0.536,0.507,0.172,0.168,0.169,401451,310403,288484,0
0.799,0.559,0.489,0.127,0.117,0.12,515164,372034,246823,0
0.607,0.414,0.346,0.144,0.111,0.108,388934,141864,38313,0
0.389,0.253,0.206,0.17,0.108,0.083,201377,3561,448,0
0.606,0.403,0.312,0.272,0.193,0.161,356719,222229,52533,0
0.796,0.689,0.682,0.142,0.161,0.156,507548,457406,457369,0
0.568,0.369,0.296,0.146,0.128,0.123,381589,70383,30260,0
0.693,0.531,0.472,0.091,0.092,0.083,502579,358859,231921,0
0.687,0.538,0.462,0.198,0.158,0.144,424196,363088,289159,0
0.647,0.476,0.416,0.129,0.152,0.152,475088,229144,210366,0
0.756,0.606,0.576,0.124,0.148,0.172,496967,429399,288461,0
0.479,0.359,0.33,0.307,0.27,0.266,249225,181884,168449,0
0.62,0.474,0.431,0.184,0.217,0.221,370375,186517,153668,0
0.682,0.516,0.454,0.148,0.141,0.135,454605,338075,237132,0
0.668,0.525,0.465,0.156,0.13,0.118,454291,370711,258564,0
0.525,0.492,0.513,0.189,0.188,0.185,318807,271433,294345,0
0.502,0.356,0.282,0.24,0.186,0.163,277607,134257,31636,0
0.607,0.393,0.333,0.104,0.168,0.166,472189,119150,113212,0
0.72,0.542,0.47,0.204,0.214,0.226,422871,339470,288364,0
0.614,0.415,0.284,0.221,0.18,0.133,367066,215532,17172,0
0.5,0.346,0.303,0.259,0.192,0.181,319460,105380,66523,0
0.556,0.354,0.346,0.132,0.14,0.134,332500,125182,111855,0
0.674,0.507,0.466,0.148,0.173,0.173,491272,265046,133525,0
0.727,0.555,0.476,0.222,0.218,0.227,438999,361986,305383,0
0.719,0.544,0.532,0.201,0.196,0.193,441342,334360,314284,0
0.674,0.475,0.417,0.286,0.222,0.205,414366,309612,242382,0
0.348,0.268,0.241,0.182,0.151,0.137,121461,39004,39804,0
0.517,0.352,0.292,0.084,0.074,0.065,334834,3922,3595,0
0.763,0.559,0.43,0.25,0.271,0.248,422475,327015,269356,0
0.557,0.418,0.37,0.182,0.167,0.178,347636,157575,132208,0
0.596,0.422,0.363,0.169,0.164,0.16,340907,202505,140839,0
0.323,0.252,0.297,0.189,0.161,0.163,99396,372,29272,0
0.624,0.439,0.356,0.219,0.172,0.147,375939,170647,101401,0
0.369,0.264,0.263,0.119,0.168,0.204,68155,70537,73568,0
0.854,0.632,0.604,0.095,0.152,0.208,518849,431242,292163,0
